region_bin,n_records,lat_centroid,lon_centroid,min_depth,max_depth,show_gap,gap_status,priority_score
Mozambique Channel,0,-18.5,37,NA,NA,TRUE,critical gap,5
E Africa coast,0,-9,45,NA,NA,TRUE,critical gap,5
Florida / SE USA,0,28,-78.5,NA,NA,TRUE,critical gap,5
Arabian Sea / Persian Gulf,4,21.6217,61.772175000000004,53.2,78.5,TRUE,data gap,4
Eastern Indian Ocean,1,7.4333,75.7167,76.5,76.5,TRUE,data gap,4
W Africa coast,2,14.0642,-21.87455,61.9,67.9,TRUE,data gap,4
Arctic,3,67.1939,23.501700000000003,45,288,FALSE,data gap,4
Central Pacific,9,0.08637777777777775,-158.4195222222222,39.5,90,TRUE,undersampled,3
Red Sea,14,20.632257142857142,38.35173571428572,46.1,109.8,TRUE,undersampled,3
Bay of Bengal,11,10.326063636363637,90.81586363636363,38,79,TRUE,undersampled,3
Maldives / Laccadives,18,4.0335,73.48947777777778,32.8,95,TRUE,undersampled,3
Western Indian Ocean,17,-10.559711764705883,41.75825294117647,30.3,90.3,TRUE,undersampled,3
Lord Howe / Norfolk Is.,38,-31.495831578947367,158.99841578947368,48.8,112.8,TRUE,moderate,2
French Polynesia,41,-17.529056097560975,-149.53711463414635,55.2,123.5,TRUE,moderate,2
Galapagos / Ecuador,29,-0.9853137931034482,-91.04083448275863,65.4,132.4,TRUE,moderate,2
Eastern Pacific (tropical),49,21.108557142857144,-87.25400204081633,46.8,135.2,TRUE,moderate,2
Micronesia / W Pacific Is.,43,9.93256511627907,138.5305953488372,32.3,133.1,TRUE,moderate,2
Chagos / BIOT,22,-6.484954545454546,71.9566,77.2,142.4,TRUE,moderate,2
SE Asia Archipelago,21,1.8731142857142857,124.10829523809524,31.8,91.9,TRUE,moderate,2
Brazil / S Atlantic,49,-3.819418367346939,-32.364822448979595,145.9,214.4,TRUE,moderate,2
NE Atlantic,32,56.4138625,-6.44685625,40,271,TRUE,moderate,2
South Ocean,32,-53.175334375,-61.28886875,36,295,FALSE,moderate,2
Great Barrier Reef,445,-16.5243395505618,146.47402449438204,30.1,80,TRUE,well sampled,1
Coral Sea,68,-16.029173529411764,156.07312647058822,55.1,124.3,TRUE,well sampled,1
NW Australia,95,-20.843165263157896,114.64327368421053,30.6,100,TRUE,well sampled,1
SW Australia,316,-25.981839873417723,113.53395443037975,30,114.7,TRUE,well sampled,1
SE Australia / NZ,365,-36.03911561643836,160.06174904109588,30,300,TRUE,well sampled,1
Hawaii,135,20.97249037037037,-157.48749481481482,46,154.8,TRUE,well sampled,1
Gulf of Mexico,203,25.556100985221676,-83.0865724137931,43,165,TRUE,well sampled,1
Caribbean,156,17.971228846153846,-66.46253974358974,66.1,135,TRUE,well sampled,1
Azores / Macaronesia,51,34.44504901960784,-23.381296078431372,57.6,123.5,TRUE,well sampled,1
Mediterranean,92,35.82164782608696,19.245619565217392,35.6,258,TRUE,well sampled,1
North Sea / English Channel,69,55.45689565217391,2.6721608695652175,33,214,TRUE,well sampled,1
